neuron,mean,sd
302,-0.1163935512304306,0.05788179486989975
303,-0.1347191333770752,0.08312824368476868
304,-0.20325352251529694,0.073025181889534
305,-0.13112933933734894,0.05909520015120506
306,-0.17243851721286774,0.07549169659614563
307,-0.058111246675252914,0.021409356966614723
308,-0.059984657913446426,0.02309190295636654
309,-0.04980168491601944,0.020988663658499718
310,-0.13110077381134033,0.07178548723459244
311,-0.2572418749332428,0.06406236439943314
312,-0.20461924374103546,0.0604889951646328
313,-0.07176227867603302,0.08211876451969147
314,-0.11701400578022003,0.07117611914873123
315,-0.04655136168003082,0.017344390973448753
316,-0.07157600671052933,0.021248789504170418
317,-0.12871544063091278,0.08426620811223984
318,-0.05161713808774948,0.02018030360341072
319,-0.13237282633781433,0.06514222174882889
320,-0.0488525927066803,0.021155212074518204
321,-0.055941347032785416,0.01672404445707798
322,-0.17458683252334595,0.09803891181945801
323,-0.2631461024284363,0.06211884692311287
324,-0.045343950390815735,0.021553458645939827
325,-0.04584808275103569,0.01891576498746872
326,-0.1932777464389801,0.04353366047143936
327,-0.0862271785736084,0.040822986513376236
328,-0.07699109613895416,0.023101473227143288
329,-0.13108670711517334,0.0565505176782608
330,-0.04729248955845833,0.01842307485640049
331,-0.045886218547821045,0.02186901681125164
332,-0.06660965085029602,0.021751005202531815
333,-0.1837674230337143,0.06482689827680588
334,-0.33937782049179077,0.0852307453751564
335,-0.13939908146858215,0.07038400322198868
336,-0.09723120182752609,0.0642223060131073
337,-0.044287461787462234,0.01527161244302988
338,-0.06043294444680214,0.021069258451461792
339,-0.10508362948894501,0.06034044921398163
340,-0.05577688291668892,0.01759801246225834
341,-0.060486435890197754,0.018425147980451584
342,-0.049924157559871674,0.019171202555298805
343,-0.07023217529058456,0.024302255362272263
344,-0.1367119997739792,0.08704545348882675
345,-0.167964905500412,0.06506259739398956
346,-0.04559957608580589,0.01644003391265869
347,-0.1327134221792221,0.07557237148284912
348,-0.1726587861776352,0.07405859231948853
349,-0.1302298605442047,0.07393953204154968
350,-0.05661015585064888,0.01944785937666893
351,-0.14289945363998413,0.06226445734500885
352,-0.045280929654836655,0.020869318395853043
353,-0.07329493761062622,0.023764245212078094
354,-0.12217766046524048,0.06789900362491608
355,-0.13872671127319336,0.05228428170084953
356,-0.050720855593681335,0.019573424011468887
