,cohens_d
165,-2.592302730988338
166,-1.9031697570319461
167,-1.5800778662206585
168,-2.665486795760669
169,-2.4484724057674128
170,-2.0711063959628397
171,-2.449587231287973
172,-2.194980789547447
173,-2.465410375159499
174,-2.309582157057569
175,-1.9281694638962905
176,-2.4511129035636943
177,-2.1719252590457985
178,-3.064674773410136
179,-2.8707819687492897
180,-2.239940813356139
181,-2.146178771709844
182,-2.259055775494433
183,-3.0642110405233405
184,-2.0016769049019407
185,-1.9705379444191216
186,0.38609572972651535
187,-2.380106084826268
188,-2.616067929429878
189,-2.19210839613571
190,-2.0498445705907185
191,-2.562339893734232
192,-2.094442261896766
193,-2.7286740385966124
194,-1.8963118577739093
195,-2.6172783686015504
196,-2.5599979999332403
197,-2.586728878075425
198,-2.7634622278773575
199,-2.045619471865907
200,-2.1634944145046586
201,-2.3149493281233284
202,-2.638807065727782
203,-2.3598302815112584
204,-2.753815744054712
205,0.6508909958717339
206,-2.8714817501133725
207,-2.4324662091957268
208,-1.5992223071927294
209,-2.723157955611905
210,-2.2758691180214643
211,-2.5869423140972754
212,-2.760500365250043
213,-1.6462834384979466
214,-1.4929508290132985
215,-1.9139551257120204
216,0.2644457178065097
217,-1.998218833554164
218,-2.0296262710762605
219,-2.131152329842824
220,-2.455308465289541
221,-1.870283374575546
222,-1.7734473387646421
223,-2.620988085465439
224,-2.295969113663709
225,-1.9622556126222115
226,-2.8746440124324733
227,-2.287345734660303
228,-1.6026362098345464
229,-2.0505206296117326
230,-2.274843682815193
231,-2.4745243897994142
232,-2.3099533528890785
233,-1.9550415563337868
234,-2.024398414467633
235,-2.736658453959736
236,-2.279615509915667
237,-2.069143492251938
238,-1.9205059074761432
239,-2.190109353244361
240,-2.4971409687063844
241,-2.316850671308667
242,-2.192965704617661
243,-1.9362317950564047
244,-2.244964016090018
245,-1.4115792737871335
246,-2.4537852421803894
247,-2.185213571593024
248,-2.579082629245839
249,-2.5082131656233733
250,-3.1530029517956666
251,-2.947780568811542
252,-2.31739620888804
253,-1.7153790144909011
254,-2.61365248495132
255,-2.493256236300763
256,-2.6774795338347595
257,-2.631002001619489
258,-2.4002439808083835
259,-2.9475493786202103
260,-2.595566760889949
261,-2.511003166856417
262,-1.8537942198243886
263,-3.063239321536765
264,-2.554580227999483
265,-1.5354431776544306
266,-1.8178147572292314
267,-2.655731638459938
268,-1.3755428372326313
269,-1.6975961175436836
270,0.48427181388911006
271,-2.3620652844325734
272,-1.8966954871196096
273,-2.465815988365393
274,-1.970512156971567
275,-2.094116565716695
276,-1.794579890584806
277,-2.8423376734394603
278,-0.36304032773020045
279,-2.5770474449691374
280,-1.7243550099234837
281,-1.4965335497522612
282,-2.266112948341575
283,-2.4605187732505773
284,-2.9693644891969906
285,-2.4323741390760554
286,-1.6740951615531943
287,-2.7993408549178813
288,-2.693792018397916
289,-2.5473549869336543
290,-2.064717637190572
291,-2.5377232134442633
292,-2.301706202621151
293,-2.224035578961044
294,-2.602139931606883
295,-1.971862161207316
296,-1.8843684920410129
297,-2.321644733792213
298,-2.5537982904970176
299,-1.399331009152402
300,-1.8846500906771122
301,-2.4675064563918268
302,-0.6823466749276988
303,-2.333608969907662
304,-1.9201682786447805
305,-1.8595201580371696
306,-2.618747491101639
307,-2.334307381336259
308,-2.7256201694045603
309,-1.8878849144600298
310,-2.82985517009189
311,0.9288987880923201
312,-1.789618372309417
313,-1.8840612259379015
314,-2.0722784612382346
315,-2.1688021705171363
316,-1.6549221100189835
317,-2.658546770713188
318,-2.497450716477423
319,-1.9745871906041061
320,-2.184470186416414
321,-2.322019310477013
322,-2.1025259804107077
323,-3.3462465773773515
324,-2.3591179736158607
325,-2.2526882108643913
326,-2.413977913226859
327,-2.5363665746935977
328,-1.7450637592579958
329,-1.8566457875312996
330,-2.383187700751436
331,-1.9166027562459964
332,-2.2546792832508085
333,-1.8228388940091917
334,-2.202331762274511
335,-1.8804813340386262
336,-2.4060551566523207
337,-2.517961447544202
338,-2.7209033129629865
339,-2.6811945852967787
340,-2.826202510647791
341,-2.4977419204448683
342,-2.094310636935007
343,-2.9397413510785175
344,-2.1134339314967825
345,-2.7119995643039507
346,-2.0199980811926044
347,-2.0039807106003233
348,-2.346893070959652
349,-1.8169406139525932
350,-2.5826461293900604
351,-2.631633057608157
352,-2.7378512673934896
353,-1.9768874523666666
354,-2.2374579988644294
355,-1.9338649861228903
356,-1.7495245947213736
357,-2.652028444656631
358,-2.3735073128389255
359,-2.3920839277128962
360,-2.6469343591761576
361,-2.3995590235815407
362,-1.8096220207849132
363,-2.6186016600306927
364,-1.635467341459047
365,-2.2587995530412233
366,-1.7493175576967326
367,-2.480290777931889
368,-2.5383338775630095
369,-2.424916228086499
370,-2.174495293302245
371,-2.4194066032827344
372,-2.5604169196327935
373,-2.3771564512209675
374,-2.845826951118441
375,-1.9424977308918336
376,-3.0040650803429543
377,-1.8076724664455046
378,-2.0186149603650505
379,-2.638540399888157
380,-2.424563691497055
381,-1.656218687257975
382,-1.7546996567570445
383,-2.139821047437839
384,-2.3373197781838346
385,-1.79625764172622
386,-2.360091485808663
387,-2.4089000679654244
388,-2.773194350473198
389,-1.9429522863878776
390,-1.9501566979235476
391,-2.038973763264858
392,-2.6412457267438216
393,-1.8200511821638776
394,-2.551997753243313
395,-2.1982099758251827
396,-2.6240485148573733
397,-1.7832351954383585
398,-2.2511282106008124
399,-2.060891226656294
400,-2.2200677533475264
401,-2.3412730208177917
402,-2.4614012764188735
403,-0.0566927165092366
404,-2.0340586380392547
405,-2.387221542287745
406,-2.5140698473754526
407,-1.2604115365884805
408,-2.422819737110912
409,-2.610387891722683
410,-1.6763334710130056
411,-2.77022344050443
412,-2.343086330545236
413,-1.8398713495913692
414,-2.460370895605664
415,-1.8335641273215937
416,-2.241945198437873
417,-1.3073725062007422
418,-2.0631975902149624
419,-2.7671301348127084
420,-1.6562496618780695
421,-1.8277623753439252
422,-2.77408417670677
423,-2.085736590126271
424,-1.2959532018691355
425,-2.415030424942926
426,-2.0972313396945386
427,-2.2002751720041287
428,-1.8089910616835885
429,-2.1775442531381977
430,-2.7773434901776737
431,-2.326305681502044
432,-2.2771712827210018
433,-2.347009718543189
434,-1.9300291488081747
435,-2.22062575143593
436,-2.2981598462243813
437,-2.1497045312672682
438,-2.2009164666071377
439,-2.8615651257309898
440,-2.6050371351808694
441,-2.238488474171331
442,-1.9193853535923473
443,-1.366694360570823
444,-2.5688191076090976
445,-1.8099456724763763
446,-2.445309460605176
447,-2.1706527912234392
448,-1.407242953966133
449,-2.332519847450139
450,-2.187277309424635
451,-1.9437414073799222
452,-2.3069175120554735
