neuron,mean,sd
585,-0.4566745,0.14791979
586,-0.74948955,0.47071818
587,-0.8911255,0.41838667
588,-0.4325919,0.18124613
589,-0.5133844,0.16809824
590,-0.5137196,0.21845838
591,-0.96302813,0.48804542
592,-0.45594344,0.15294692
593,-0.4811175,0.17148462
594,-0.45758942,0.13685873
595,-0.47138897,0.374061
596,-0.5211696,0.15628155
597,-0.44079104,0.14623657
598,-0.4496181,0.14933345
599,-0.5085577,0.15349676
600,-0.6306145,0.4012537
601,-0.46605515,0.17797427
602,-0.53455573,0.16594441
603,-0.34934804,0.13244341
604,-0.53591657,0.16221562
605,-0.5119694,0.1546016
606,-0.46331954,0.17450824
607,-0.39226228,0.14183727
608,-0.470609,0.14254408
609,-0.47666103,0.15668157
610,-0.51179355,0.16829064
611,-0.48333246,0.15357344
612,-0.4978145,0.15786502
613,-0.4545126,0.16144972
614,-0.5108037,0.143538
615,-0.5345653,0.19214779
616,-0.4800617,0.14530572
617,-0.51362467,0.16153665
618,-0.7350234,0.43002653
619,-0.5158368,0.19078165
620,-0.39289963,0.16332488
621,-0.55858463,0.16765653
622,-0.66353214,0.39449105
623,-0.5635896,0.37920222
624,-0.48402193,0.14146711
625,-0.41598478,0.15430312
626,-0.65050846,0.3826573
627,-0.46391034,0.17093131
628,-0.7257641,0.4077017
629,-0.7491563,0.44924256
630,-0.4843702,0.14835908
631,-0.7466373,0.45300767
632,-0.36884034,0.12456501
633,-0.7646363,0.43174314
634,-0.4909873,0.14473335
635,-0.46641284,0.15941772
636,-0.85925496,0.46508458
637,-0.4167282,0.3051641
638,-0.52072984,0.36168808
639,-0.5181087,0.16699685
640,-1.0031096,0.5738907
641,-0.5209125,0.17967512
642,-0.69002,0.41829428
643,-0.40888765,0.15648717
644,-0.4632567,0.15670176
645,-0.49420506,0.14250027
646,-0.5361091,0.15940928
647,-0.5505583,0.16755018
648,-0.6948203,0.4189382
649,-0.39122018,0.12651853
650,-0.23968796,0.13890395
651,-0.5154659,0.17124504
652,-0.5043659,0.15868734
653,-0.4643209,0.13980019
654,-0.37102196,0.14620021
655,-0.5437326,0.1662195
656,-0.47680977,0.13966042
657,-0.7342109,0.44656447
658,-0.7356054,0.44300422
659,-0.6531257,0.39457995
660,-0.4647913,0.14033696
661,-0.44791064,0.3007348
662,-0.50415885,0.15405054
663,-0.7270295,0.4195188
664,-0.52693677,0.2669491
665,-0.67234075,0.35799304
666,-0.5034863,0.18196659
667,-0.52163184,0.20600978
