neuron,cohens_d
757,-0.85448474
758,-2.025738
759,-2.120456
760,-0.13302517
761,-1.8713591
762,-2.0498586
763,-2.0656157
764,-0.88690746
765,-2.0289972
766,-2.4521816
767,-0.52118015
768,-1.5747149
769,-0.80452275
770,-1.3757727
771,-1.5232656
772,-1.9330461
773,-1.7054203
774,-0.10959809
775,-1.8607546
776,-2.0899804
777,-1.8737714
778,-2.3301606
779,-1.7681936
780,-0.24043132
781,-1.418504
782,-1.9695036
783,-1.356702
784,-1.3955743
785,-0.40586045
786,-1.6005864
787,-1.7933395
788,-2.1628134
789,-0.8928419
790,-2.3870308
791,-0.5519245
792,-1.586526
793,1.2910248
794,-0.4676966
795,-1.8851641
796,-1.0756935
797,-2.2186084
798,-1.9168675
799,-0.7669633
800,-0.13591735
801,-1.3228714
802,-2.179891
803,-0.6076884
804,-0.7432832
805,-1.456472
806,-0.7536746
807,-1.884508
808,-1.484017
809,-2.050752
810,0.08565517
811,-2.2924137
812,-1.7885756
813,-0.86024094
814,0.9053614
815,-2.172175
816,-1.6872085
817,-0.5597723
818,-1.7229011
819,-1.7274692
820,-1.6821988
821,-1.4479617
822,-1.9603199
823,-2.1052327
824,-0.54745346
825,-0.8281047
826,-1.3027524
827,-2.247099
828,-2.2027884
829,-1.9206102
830,-2.0423908
831,-0.48134756
832,-1.6962442
833,-0.7798289
834,-1.4970542
835,-1.1761289
836,-2.1728818
837,-1.9245466
838,-1.899266
839,-0.33122724
840,-0.004027532
841,-2.2047358
842,-1.9088804
843,-2.1551497
844,0.49133673
845,-1.8697139
846,-1.8943988
847,-0.8244942
848,-1.8918897
849,-0.44540873
850,-1.9842392
851,-1.7376647
852,-1.8198273
853,-1.8994668
854,-1.8308179
855,0.6421382
856,-2.3504927
857,0.0029270072
858,-1.9441848
859,-1.6555026
860,-1.7336696
861,0.012202613
862,-1.614017
863,-1.8318815
864,-1.020812
865,-0.88425404
866,-0.19348033
867,0.1031186
868,-1.7534009
869,-0.8142836
870,-1.73717
871,0.46005157
872,-1.7641271
873,-0.3379719
874,-0.45515952
875,-0.51488006
876,-1.502455
877,-0.2786843
878,-0.61184156
879,-0.17891681
880,-1.9870824
881,-1.0364891
882,-1.6472917
883,-2.0353396
884,-0.63151526
885,-2.2439907
886,-1.6042727
887,0.89455354
888,-1.99924
889,-0.58544487
890,-1.8655508
891,-1.4013001
892,-2.1532416
893,0.4700163
894,-1.8873672
895,-1.6842011
896,-0.9132361
897,-1.2297996
898,-1.9157487
899,-0.19024234
900,-0.2361724
901,-0.25920445
902,-0.5259671
903,-1.651142
904,-2.144385
905,-1.8105942
906,-1.7771318
907,-1.3503124
908,-0.6263671
909,-0.048175894
910,-1.1643516
911,-0.33044574
912,0.34700906
913,-0.9467405
914,-2.1105742
915,-1.8277373
916,-1.4631858
917,-0.2507671
918,-1.9372725
919,-0.83787996
920,-0.74752074
921,-1.6039659
922,-2.3703456
923,-1.2620783
924,-0.43263465
925,-2.3682618
926,-2.1600459
927,-1.2105289
928,-1.6794872
929,-1.4698914
930,-1.9817368
931,-2.251614
932,-0.49179673
933,-0.76504725
934,-1.627894
935,-1.7294503
936,-2.1903622
937,-1.5045158
938,-1.609468
939,-1.9516389
940,0.301025
941,-1.1064616
942,-0.037771
943,-2.0422666
944,-1.8036183
945,-1.6034944
946,-1.7801468
947,-1.5390173
948,-1.1459478
949,-2.124875
950,-2.0358722
951,-1.3708241
952,-1.9632324
953,-0.7887244
954,-0.7925255
955,-0.38595757
956,-1.9734924
957,-0.7430811
958,-1.7185163
959,-2.1182115
960,-1.6764796
961,-1.7681414
962,-0.6350047
963,-0.5212296
964,-0.0094361715
965,-2.0642147
966,-0.57565826
967,-2.0704794
968,-2.1368096
969,0.02968947
970,-1.6831235
971,0.4713462
972,-1.7900379
973,-0.5783309
974,-0.97736335
975,-1.9442778
976,-2.0152488
977,-1.5826494
978,-1.4851079
979,-2.0451643
980,-1.9624989
981,-1.4022199
982,-0.4049144
983,-1.7079704
984,-1.1737738
985,-2.2152562
986,-1.9464064
987,-1.8068291
988,-0.66901064
989,-0.9605033
990,0.8861921
991,-1.1714369
992,-1.7151082
993,-1.2319423
994,-1.2858233
995,0.003908486
996,-1.8805547
997,-1.7179235
998,-0.7181174
999,-1.245923
1000,-0.38886312
1001,-1.6262994
1002,-0.2905311
1003,0.2925181
1004,-2.377163
1005,-2.1887033
1006,0.17925222
1007,-0.87253857
1008,-2.3390028
1009,-1.3258657
1010,-1.9394703
1011,-0.6276834
1012,-1.5044845
1013,-0.19269761
1014,0.27363673
1015,-1.0244969
1016,-0.7238083
1017,-1.4543474
1018,-1.8388122
1019,-1.6771202
1020,-1.4055309
1021,-2.1680348
1022,-1.7190418
1023,-1.643933
1024,-0.54829717
1025,-0.44198743
1026,-1.1170273
1027,-0.030964928
1028,-0.37622353
1029,-1.960839
1030,-1.640176
1031,-0.8367574
1032,-2.0168347
1033,-1.9180303
1034,-1.8052952
1035,-0.5071636
1036,-0.43584883
1037,-1.465208
1038,-1.7421445
1039,-0.4761908
1040,-0.5717951
1041,0.5628767
1042,-1.8092623
1043,-2.1280518
1044,-1.4267184
1045,1.1044097
1046,0.03349995
1047,-0.34551266
1048,-0.83673036
1049,0.32902256
1050,-1.5439563
1051,-0.28393152
1052,-0.07109537
1053,-1.7046403
1054,-1.7334977
1055,-1.4640851
1056,-1.2662542
1057,-2.249318
1058,-1.929286
1059,-0.3173969
1060,-1.5834217
1061,-0.2556543
1062,-1.979273
1063,-1.9018155
1064,-0.07021059
1065,-2.1077576
1066,-1.6874036
1067,-0.8035266
1068,-1.1167301
1069,-1.0248035
1070,-0.9123832
1071,-2.3064802
1072,-1.7362413
1073,-0.18531293
1074,-1.1739742
1075,-0.9574086
1076,-2.2098637
1077,-0.15936969
1078,-0.42067727
1079,-1.9657301
1080,-1.8943005
1081,-0.3755509
1082,0.02466
1083,-2.1374452
1084,-1.9472126
1085,-1.9126796
1086,-0.51689285
1087,-1.9353918
1088,-1.6591153
1089,-1.9320073
1090,-0.038603064
1091,-1.8908201
1092,-1.0327879
1093,-2.0110946
1094,-1.069133
1095,-2.204141
1096,-2.166987
1097,-1.2329832
1098,-1.868229
1099,-1.9458029
1100,-2.0317662
1101,-0.7673485
1102,-2.074442
1103,-2.0049908
1104,-1.269151
1105,0.03219982
1106,-1.1270493
1107,-2.1357005
1108,-0.5385933
1109,-1.136359
1110,-0.9670283
1111,-1.228362
1112,-2.116282
1113,-2.0298839
1114,-1.9207046
1115,-0.9385302
1116,-1.0668045
1117,-1.9858373
1118,-1.7356191
1119,-2.0172696
1120,-1.7489667
1121,-1.3993325
1122,-1.831095
1123,-0.6506294
1124,0.3349754
1125,0.29312113
1126,-1.8795531
1127,-2.109571
1128,-1.7548653
1129,-1.3015608
1130,-0.82617974
1131,-1.9836261
1132,-1.6892018
1133,-0.2687454
1134,-1.8282436
1135,-1.2090793
1136,-1.9395905
1137,-0.46530566
1138,-1.7491033
1139,-1.6896863
1140,-0.62647456
1141,-0.51950014
1142,-1.7664322
1143,-2.0780184
1144,-0.7487527
1145,-1.9457458
1146,-1.8281953
1147,0.40953997
1148,-2.1617868
1149,-2.101092
1150,-1.9686412
1151,-1.7302891
1152,-2.1466262
1153,-0.37074015
1154,-2.156748
1155,-1.8738426
1156,0.3010582
1157,-0.011878611
1158,-2.0212111
1159,0.12084675
1160,-2.1082299
1161,-0.57503307
1162,-1.1671429
1163,-2.1983647
1164,-0.12721519
1165,-1.683031
1166,0.104449995
1167,-1.3278269
1168,-1.4410646
1169,-1.4413644
1170,-1.8835018
1171,-0.90669596
1172,-0.28618324
1173,0.6955746
1174,-2.3629556
1175,-2.0679996
1176,-0.7253118
1177,-2.1663723
1178,-0.09669959
1179,-0.91579086
1180,-1.9240957
1181,-0.6563651
1182,-1.0255278
1183,-1.2202549
1184,-2.1005223
1185,-2.025799
1186,-1.6975962
1187,0.7381052
1188,-1.3774856
1189,-0.3143046
1190,-2.067372
1191,-1.8160101
1192,-0.14307696
1193,-2.5545053
1194,-0.24952522
1195,-1.1049398
1196,-0.55173796
1197,-1.2268301
1198,-2.007712
1199,-1.6845673
1200,-1.8920373
1201,0.4865626
1202,-1.5919994
1203,0.42997476
1204,-0.13564499
1205,-0.26137018
1206,-0.63618225
1207,-2.3579743
1208,-1.8866179
1209,-1.4797848
1210,-1.219021
1211,-0.9744852
1212,-1.4771829
1213,0.07922823
1214,-1.5386806
1215,-0.7884803
1216,-1.7540597
1217,-1.3372211
1218,-0.9584799
1219,-1.3645705
1220,-0.7704677
1221,0.42098284
1222,-1.4754473
1223,-2.2661414
1224,-1.6551548
1225,-1.8668189
1226,-0.47024968
1227,0.46447906
1228,-0.45569617
1229,-2.0359137
1230,-1.8431216
1231,-2.1110551
1232,-2.1059856
1233,-0.93018967
1234,-0.39689428
1235,-1.6692431
1236,-1.0074846
1237,-0.635128
1238,-2.008618
1239,0.8584999
1240,-2.0239432
1241,-0.4572698
1242,-0.08112327
1243,-0.91944915
1244,-1.7493671
1245,-0.47344884
1246,-1.263766
1247,-1.5807544
1248,-2.337809
1249,-2.3154452
1250,-1.861436
1251,-2.1536524
1252,-2.09934
1253,-1.6313231
1254,-1.9565425
1255,-0.6878344
1256,-2.2861607
1257,-1.9856142
1258,-1.2515465
1259,-0.67700404
1260,-0.3386857
1261,-0.38138822
1262,-2.4726253
1263,-1.888883
1264,-1.2858328
1265,-1.9480141
1266,-1.057025
