alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
6.0,0.25,2.0,0.0394,872.1066,0.9887,0.1166,0.0716,0.0356,0.0356,0.0739,0.0059,0.0059,0.0335,0.0402,0.0402,0.0327,0.4829392433166504
0,0.25,3.0,0.0693,2743.9426,0.9964,0.0513,0.0174,0.0659,0.0659,0.0996,0.0,0.0,0.0693,0.0699,0.0699,0.0636,0.4835672378540039
1.0,0.25,3.0,0.07,2708.2924,0.9962,0.0531,0.0205,0.0661,0.0661,0.1057,0.0001,0.0001,0.0699,0.0708,0.0708,0.0634,0.4845612049102783
2.0,0.25,3.0,0.0712,2649.1933,0.996,0.0628,0.0237,0.0671,0.0671,0.1076,0.0003,0.0003,0.0709,0.0719,0.0719,0.0642,0.48805999755859375
3.0,0.25,3.0,0.0705,2549.6872,0.9955,0.0714,0.0289,0.0663,0.0663,0.1081,0.0008,0.0008,0.0697,0.0712,0.0712,0.0634,0.4851796627044678
4.0,0.25,3.0,0.0674,2316.9186,0.9945,0.0819,0.0369,0.0634,0.0634,0.1034,0.0019,0.0019,0.0655,0.0682,0.0682,0.0601,0.48383498191833496
5.0,0.25,3.0,0.0605,1784.9723,0.9924,0.0988,0.0511,0.0565,0.0565,0.0965,0.0041,0.0041,0.0564,0.0614,0.0614,0.0521,0.48416709899902344
6.0,0.25,3.0,0.0381,841.8775,0.9888,0.1149,0.0711,0.0342,0.0342,0.0733,0.006,0.006,0.0321,0.0388,0.0388,0.0317,0.48398637771606445
0,0.25,4.0,0.0692,2749.4555,0.9964,0.0511,0.0176,0.0657,0.0657,0.1013,0.0,0.0,0.0692,0.0699,0.0699,0.0635,0.48632216453552246
1.0,0.25,4.0,0.0698,2711.0137,0.9962,0.0535,0.0203,0.0658,0.0658,0.1062,0.0001,0.0001,0.0697,0.0706,0.0706,0.063,0.48688220977783203
2.0,0.25,4.0,0.0712,2645.6295,0.9959,0.0626,0.0235,0.0671,0.0671,0.1075,0.0003,0.0003,0.0708,0.0719,0.0719,0.0649,0.4844362735748291
3.0,0.25,4.0,0.0702,2535.1222,0.9954,0.0716,0.0291,0.0662,0.0662,0.1071,0.0009,0.0009,0.0694,0.0711,0.0711,0.0629,0.48692989349365234
4.0,0.25,4.0,0.0676,2286.5856,0.9944,0.0812,0.0369,0.0636,0.0636,0.1028,0.0022,0.0022,0.0654,0.0683,0.0683,0.0606,0.48702454566955566
5.0,0.25,4.0,0.0601,1743.3685,0.9923,0.0998,0.0511,0.056,0.056,0.0965,0.0043,0.0043,0.0558,0.061,0.061,0.052,0.4842395782470703
6.0,0.25,4.0,0.0375,827.1765,0.9888,0.1154,0.0707,0.0335,0.0335,0.073,0.006,0.006,0.0315,0.0381,0.0381,0.0313,0.49005556106567383
0,0.25,5.0,0.0694,2750.5142,0.9964,0.0506,0.0178,0.0657,0.0657,0.1029,0.0,0.0,0.0694,0.0699,0.0699,0.0644,0.48342394828796387
1.0,0.25,5.0,0.0701,2708.7713,0.9962,0.0543,0.0205,0.0661,0.0661,0.1068,0.0001,0.0001,0.07,0.0709,0.0709,0.0635,0.4873621463775635
