neuron,cohens_d
424,-1.6338691711425781
425,-2.4245526790618896
426,-2.233973979949951
427,-1.3403489589691162
428,-2.190798282623291
429,-1.0084530115127563
430,-1.2658681869506836
431,-2.6273391246795654
432,-2.0880355834960938
433,-4.410226345062256
434,-0.8956754207611084
435,-0.40291687846183777
436,0.7175261974334717
437,-0.19163107872009277
438,-3.4292421340942383
439,-1.0616015195846558
440,-1.2377278804779053
441,-0.6924248337745667
442,-1.3528412580490112
443,-2.077338933944702
444,-1.5461679697036743
445,-1.3023442029953003
446,-0.8542256951332092
447,-2.758403778076172
448,0.7352551817893982
449,-2.534377098083496
450,-0.6688296794891357
451,-0.40250009298324585
452,-2.171839475631714
453,-1.2952531576156616
454,-2.0141236782073975
455,-1.8200353384017944
456,-2.7289841175079346
457,-1.6546707153320312
458,-0.6994497179985046
459,-1.429916501045227
460,-0.6207038164138794
461,-3.0101141929626465
462,-2.0465054512023926
463,-2.6221508979797363
464,-2.5849392414093018
465,-0.9625034332275391
466,-0.28336358070373535
467,-2.0322723388671875
468,-2.847581624984741
469,-1.6031757593154907
470,-0.6494067907333374
471,-1.3666547536849976
472,-1.092603325843811
473,-0.48129966855049133
474,-0.29308634996414185
475,-2.3037118911743164
476,-2.0306880474090576
477,-0.3089589476585388
478,-1.6533546447753906
479,-0.6973792910575867
480,-1.0428897142410278
481,-1.161972165107727
482,-1.1495721340179443
483,-1.2405383586883545
484,-2.1193325519561768
485,-2.56663179397583
486,-0.763860821723938
487,-2.289090394973755
488,-1.5312409400939941
489,-0.1309819370508194
490,-1.2296439409255981
491,-1.579455018043518
492,-0.08851953595876694
493,-1.3704801797866821
494,-2.007765769958496
495,-0.3789789378643036
496,-1.912624716758728
497,-1.7014881372451782
498,-3.0852506160736084
499,-0.6231508255004883
500,-2.8759541511535645
501,0.4723874628543854
502,-1.5288093090057373
503,-2.2937493324279785
504,-3.6055550575256348
505,-0.6485798358917236
506,-1.1175687313079834
507,-1.7836294174194336
508,-1.0955591201782227
509,-2.7066047191619873
510,-1.8704713582992554
511,-1.1573535203933716
512,-1.74936842918396
