,mean,sd
448,-0.63137335,0.24797563
449,-1.0439806,0.23158044
450,-1.1229751,0.22255653
451,-0.88313997,0.18904403
452,-1.1117264,0.25251514
453,-0.5389195,0.19130413
454,-1.1067852,0.21455033
455,-0.7911296,0.2387459
456,-0.5065849,0.20436504
457,-0.6039684,0.19446954
458,-1.1068828,0.18497372
459,-0.7433578,0.24352352
460,-0.41479543,0.0954731
461,-0.9519536,0.21773027
462,-0.5768562,0.1413215
463,-0.7484057,0.26190686
464,-0.10388351,0.18023251
465,-0.5925869,0.20903558
466,-0.4549123,0.22568046
467,-0.5411326,0.13745977
468,-0.6035437,0.15595782
469,-0.63033164,0.18496403
470,-0.63205177,0.15068766
471,-1.14849,0.16312616
472,-0.5342649,0.15135929
473,-0.22111568,0.25239825
474,-0.6091936,0.20629482
475,-0.55867666,0.17005557
476,-0.55671036,0.12401103
477,-0.43817428,0.17048351
478,-0.4195192,0.21940593
479,-0.62852025,0.12951098
480,-0.5872332,0.1298082
481,-0.6217434,0.17374405
482,-0.44364342,0.17915113
483,-0.61508685,0.16593108
484,-0.8539115,0.17662823
485,-1.0778831,0.24172446
486,-0.8538592,0.21018173
487,-0.5093861,0.09228018
488,-1.2472569,0.21149266
489,-0.62600213,0.19223514
490,-0.91724014,0.21543974
491,-0.5705096,0.243613
492,-1.2672724,0.23096068
493,-1.1031148,0.19434477
494,-0.63354063,0.1816329
495,-0.59592295,0.1337865
496,-0.6966394,0.2028597
497,-0.5578743,0.20655116
498,-0.83130574,0.18927366
499,-0.5497324,0.16034874
500,-0.60227925,0.21204259
501,-0.60965854,0.16260675
502,-0.6252359,0.17081457
503,-0.5737009,0.16200554
504,-0.7738245,0.21550934
505,-0.101315185,0.3382597
506,-0.8112551,0.18464772
507,-0.51080686,0.16074349
508,-0.47124577,0.13008007
509,0.0008356573,0.19311872
510,-0.5911481,0.16615646
511,-0.5154099,0.1915676
512,-1.3942649,0.17039125
513,-0.54644763,0.18631844
514,-0.7109923,0.2105428
515,-0.5401421,0.1861143
516,-0.79225785,0.19590043
517,-0.46576053,0.2084638
518,-0.56861603,0.3237773
519,-0.5885625,0.1969276
520,-0.6783635,0.18169266
521,-0.71429956,0.24171782
522,-0.5703241,0.119129345
523,-0.57388157,0.20160808
524,-0.69407135,0.25249812
525,-0.56727034,0.1531234
526,-0.54789174,0.2233082
527,-0.38710168,0.20433442
528,-1.071538,0.24620692
529,-0.6097241,0.19586565
530,-0.15885092,0.2589173
531,-0.2877332,0.21548216
532,-0.7353761,0.13916706
533,-0.76745635,0.21511266
534,-0.48948646,0.1720569
535,-0.57391226,0.16918682
536,-0.75330657,0.16658951
537,-0.8857311,0.15162255
538,-0.38885003,0.18512024
539,-0.17337805,0.18328267
540,-0.4088511,0.28157058
541,-0.73931885,0.17692035
542,-0.68274695,0.20797852
543,-0.5171286,0.17516142
544,-0.3708893,0.1701485
545,-0.6207951,0.15942086
546,-0.5582683,0.14694409
547,-0.6639991,0.18047668
548,-0.7520744,0.26926804
549,-1.0631227,0.29229653
550,-0.24543978,0.17473672
551,-0.54847836,0.20092073
552,-0.54772896,0.1644895
553,-1.1198399,0.22894172
554,-0.58492845,0.11788071
555,-0.9556716,0.26167428
556,-0.667992,0.25485095
557,-0.78383857,0.2976397
558,-0.6463375,0.21982571
559,-0.8409622,0.21971647
560,-0.62793016,0.19171758
561,-0.38452607,0.20931888
562,-0.5135294,0.14832464
563,-0.5161478,0.19326884
564,-0.48132598,0.23699062
565,-0.8796689,0.236554
566,-0.3626882,0.18445559
567,-0.7417986,0.27410674
568,-0.49694243,0.19242436
569,-0.5080008,0.10482105
570,-0.94388777,0.14129478
571,-0.4615979,0.24084142
572,-0.8140989,0.24213724
573,-0.6936108,0.16101713
574,-0.4107313,0.31002158
575,-1.3663895,0.35641024
576,-0.76514053,0.2415768
577,-1.0325017,0.33000723
578,0.07256821,0.32260385
579,-0.68410087,0.21114719
580,-0.50816447,0.16093872
581,-0.63771945,0.12793444
582,-0.7049793,0.26319525
583,-0.6026099,0.1962343
584,-0.5937058,0.1089371
585,-0.810824,0.21303
586,-0.5923058,0.2548754
587,-0.55391985,0.1791768
588,-0.3509261,0.12744962
589,-0.3827866,0.28700405
590,-0.100846894,0.18632953
591,-0.6929117,0.1867581
592,-0.8352318,0.17761117
593,-1.28091,0.25547653
594,-0.575183,0.14512645
595,-0.6491832,0.18991315
596,-0.49616006,0.1543732
597,-0.7453727,0.19974546
598,-0.71503186,0.18021733
599,-0.65715575,0.2788894
600,-0.92195666,0.22847964
601,-0.49682027,0.17929216
602,-0.7906932,0.1188185
603,-0.68287116,0.15566969
604,-0.7104299,0.16614367
605,-0.796633,0.20452744
606,-0.54720384,0.22058913
607,-0.67931014,0.15048924
608,-0.4924793,0.1443314
609,-0.9617827,0.19749923
610,-0.5125752,0.19237694
611,-0.8500191,0.23788151
612,-0.41488576,0.24586676
613,-0.57589346,0.16600963
614,-0.63737595,0.29651105
615,-0.8706157,0.21213071
616,-0.48694462,0.1784532
617,-0.76064944,0.23348896
618,-0.48786256,0.14436844
619,-0.41750214,0.33577022
620,-0.58977807,0.16953714
621,-0.7477993,0.2929084
622,-0.6259728,0.099578075
623,-0.6719768,0.19283375
624,-0.7656975,0.19079445
625,-0.81017166,0.24320874
626,-0.72653055,0.13541771
627,-0.49725896,0.15561436
628,-0.7026523,0.14858826
629,-0.21975115,0.26690334
630,-0.71490556,0.17171064
631,-0.46839413,0.18623406
632,-0.67366517,0.22995792
633,-0.4790679,0.12159526
634,-0.8180996,0.23647119
635,-0.2410639,0.19594193
636,-0.5876143,0.17152429
637,-0.53870374,0.15525642
638,-0.49578542,0.16394635
639,-0.13308501,0.21478248
640,-0.06561962,0.26778
641,-0.44851238,0.26697358
642,-0.51827526,0.19426739
643,-0.672155,0.20004533
644,-0.119114235,0.18773735
645,-0.5429296,0.18651417
646,-0.7995744,0.15727952
647,-0.7697474,0.1821764
648,-0.478811,0.19246249
649,-0.9841183,0.19101898
650,-0.4829073,0.259915
651,-0.8066189,0.13970163
652,-0.66341615,0.13675894
653,-0.6026418,0.17990309
654,-0.65200865,0.24763672
655,-0.67480767,0.28358653
656,-0.7362908,0.10792487
657,-0.46968544,0.21485418
658,-0.6673747,0.22401239
659,-0.70178914,0.21195054
660,-0.7263939,0.23655553
661,-0.6947962,0.2131109
662,-0.6175543,0.13186248
663,-0.51899415,0.11294338
664,-0.55197805,0.16795568
665,-0.9343728,0.22590007
666,-0.7080835,0.10251819
667,-0.08087053,0.22127728
668,-0.5444996,0.21271518
669,-0.35970894,0.18486348
670,-0.8157829,0.16781276
671,-0.6165827,0.1829122
672,-0.7395246,0.14535785
673,-0.9145266,0.3012169
674,-0.6122689,0.23455955
675,-0.63023615,0.2854078
676,-0.6356739,0.14525506
677,-0.38472298,0.21603172
678,-0.59685004,0.15521052
679,-0.77164763,0.18664284
680,-0.61019826,0.21262304
681,-0.7756824,0.30146512
682,-1.0011746,0.2055102
683,-0.7212923,0.21713199
684,0.11358628,0.21687828
685,-0.9169022,0.22358498
686,-0.97714174,0.20507772
687,-0.79768455,0.39209208
688,-0.3072992,0.16742937
689,-0.6813371,0.18991444
690,-0.6717928,0.23730563
691,-0.64699,0.2740589
692,-0.8542187,0.16582741
