alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1,1.0,2,0.0701,2716.4032,0.9964,0.0504,0.0186,0.0663,0.0663,0.1041,0.0,0.0701,0.071,0.071,0.0621,0.400133848
2,1.0,2,0.0699,2709.0839,0.9963,0.0499,0.0222,0.0661,0.0661,0.1034,0.00010000000000000286,0.0698,0.0708,0.0708,0.0617,0.400085926
3,1.0,2,0.0698,2689.7446,0.9961,0.0611,0.0252,0.0661,0.0661,0.1035,0.00010000000000000286,0.0697,0.0707,0.0707,0.0622,0.398996115
4,1.0,2,0.0694,2593.144,0.9954,0.0702,0.0296,0.0658,0.0658,0.1018,0.000800000000000009,0.0686,0.0702,0.0702,0.0621,0.399517298
5,1.0,2,0.0621,2230.7508,0.9935,0.0944,0.046,0.0591,0.0591,0.089,0.002800000000000004,0.0593,0.0628,0.0628,0.0557,0.400823116
6,1.0,2,0.038,1391.6262,0.99,0.1142,0.0609,0.0373,0.0373,0.044,0.004499999999999997,0.0335,0.0382,0.0382,0.0363,0.402284145
0,1.0,3,0.0703,2718.1389,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0712,0.0712,0.062,0.400467873
1,1.0,3,0.0701,2716.8486,0.9964,0.0504,0.0186,0.0664,0.0664,0.1041,0.0,0.0701,0.071,0.071,0.0621,0.403122902
2,1.0,3,0.0699,2709.6235,0.9963,0.0499,0.0222,0.0661,0.0661,0.1034,0.00010000000000000286,0.0698,0.0708,0.0708,0.0616,0.40011692
3,1.0,3,0.0699,2690.0771,0.9961,0.0611,0.0252,0.0661,0.0661,0.1035,0.00010000000000000286,0.0698,0.0707,0.0707,0.0622,0.400474787
4,1.0,3,0.0694,2593.5979,0.9954,0.0699,0.0296,0.0658,0.0658,0.1018,0.000899999999999998,0.0685,0.0702,0.0702,0.0622,0.40017271
5,1.0,3,0.0621,2230.9744,0.9935,0.0944,0.046,0.0591,0.0591,0.089,0.002700000000000001,0.0594,0.0628,0.0628,0.0557,0.399165392
6,1.0,3,0.038,1391.1867,0.99,0.1142,0.0609,0.0373,0.0373,0.044,0.004499999999999997,0.0335,0.0382,0.0382,0.0361,0.400507212
0,1.0,4,0.0703,2718.3986,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0713,0.0713,0.062,0.399352551
1,1.0,4,0.0702,2717.0793,0.9964,0.0504,0.0186,0.0664,0.0664,0.1041,0.0,0.0702,0.0711,0.0711,0.0621,0.400217056
2,1.0,4,0.0699,2709.8502,0.9963,0.0499,0.0222,0.0661,0.0661,0.1034,0.00010000000000000286,0.0698,0.0708,0.0708,0.0616,0.400288105
3,1.0,4,0.0699,2690.5163,0.9961,0.0611,0.0252,0.0661,0.0661,0.1035,0.00010000000000000286,0.0698,0.0707,0.0707,0.0622,0.400006533
4,1.0,4,0.0694,2594.1251,0.9954,0.0702,0.0296,0.0658,0.0658,0.1018,0.000800000000000009,0.0686,0.0702,0.0702,0.0622,0.399302959
5,1.0,4,0.0621,2231.0887,0.9935,0.0944,0.046,0.0591,0.0591,0.089,0.002700000000000001,0.0594,0.0628,0.0628,0.0557,0.400669575
6,1.0,4,0.038,1391.1547,0.99,0.1142,0.0609,0.0373,0.0373,0.044,0.004499999999999997,0.0335,0.0382,0.0382,0.0361,0.401011467
0,1.0,5,0.0703,2718.4378,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0713,0.0713,0.062,0.399219036
1,1.0,5,0.0702,2717.1097,0.9964,0.0504,0.0186,0.0664,0.0664,0.1041,0.0,0.0702,0.0711,0.0711,0.0621,0.399976492
2,1.0,5,0.0699,2709.8723,0.9963,0.0499,0.0222,0.0661,0.0661,0.1034,0.00010000000000000286,0.0698,0.0708,0.0708,0.0616,0.400785923
3,1.0,5,0.0699,2690.6119,0.9961,0.0611,0.0252,0.0661,0.0661,0.1035,0.00010000000000000286,0.0698,0.0707,0.0707,0.0622,0.40063858
4,1.0,5,0.0694,2594.1802,0.9954,0.0702,0.0296,0.0658,0.0658,0.1018,0.000800000000000009,0.0686,0.0702,0.0702,0.0622,0.39986515
5,1.0,5,0.0621,2231.0887,0.9935,0.0944,0.046,0.0591,0.0591,0.089,0.002700000000000001,0.0594,0.0628,0.0628,0.0557,0.3992908
6,1.0,5,0.038,1391.1547,0.99,0.1142,0.0609,0.0373,0.0373,0.044,0.004499999999999997,0.0335,0.0382,0.0382,0.0361,0.399556637
0,1.0,6,0.0703,2718.4244,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0713,0.0713,0.062,0.401235342
1,1.0,6,0.0702,2717.1001,0.9964,0.0506,0.0186,0.0664,0.0664,0.1041,0.0,0.0702,0.0711,0.0711,0.0621,0.399304152
2,1.0,6,0.0699,2709.8722,0.9963,0.0499,0.0222,0.0661,0.0661,0.1034,0.00010000000000000286,0.0698,0.0708,0.0708,0.0616,0.399830341
3,1.0,6,0.0699,2690.6067,0.9961,0.0611,0.0252,0.0661,0.0661,0.1035,0.00010000000000000286,0.0698,0.0707,0.0707,0.0622,0.399862051
4,1.0,6,0.0694,2594.1802,0.9954,0.0702,0.0296,0.0658,0.0658,0.1018,0.000800000000000009,0.0686,0.0702,0.0702,0.0622,0.400863409
5,1.0,6,0.0621,2231.0887,0.9935,0.0944,0.046,0.0591,0.0591,0.089,0.002700000000000001,0.0594,0.0628,0.0628,0.0557,0.399793148
6,1.0,6,0.038,1391.1547,0.99,0.1142,0.0609,0.0373,0.0373,0.044,0.004499999999999997,0.0335,0.0382,0.0382,0.0361,0.401259899
