alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
2.0,0.5,4.0,0.0214,89.9145,0.8649,0.6123,0.2923,0.0219,0.0219,0.0169,0.016,0.016,0.0054,0.0201,0.0201,0.0328,0.4707648754119873
3.0,0.5,4.0,0.0187,73.8989,0.9059,0.5026,0.2312,0.0191,0.0191,0.0149,0.015,0.015,0.0037,0.0181,0.0181,0.0246,0.481534481048584
4.0,0.5,4.0,0.015,54.1801,0.9444,0.3579,0.1634,0.0152,0.0152,0.0125,0.0132,0.0132,0.0018,0.0152,0.0152,0.0132,0.46914172172546387
5.0,0.5,4.0,0.0115,39.8075,0.97,0.216,0.108,0.0116,0.0116,0.0107,0.0109,0.0109,0.0006,0.0122,0.0122,0.0054,0.4711794853210449
0.0,0.5,5.0,0.0214,113.1255,0.8283,0.6809,0.3398,0.022,0.022,0.0162,0.014,0.014,0.0074,0.0198,0.0198,0.0359,0.4690697193145752
1.0,0.5,5.0,0.0219,101.2685,0.8387,0.6607,0.3254,0.0225,0.0225,0.0163,0.0154,0.0154,0.0065,0.0205,0.0205,0.0339,0.47200465202331543
2.0,0.5,5.0,0.0212,88.8257,0.8681,0.6027,0.2885,0.0217,0.0217,0.0167,0.0159,0.0159,0.0053,0.02,0.02,0.0323,0.47034716606140137
3.0,0.5,5.0,0.0183,72.921,0.9081,0.4947,0.227,0.0187,0.0187,0.015,0.0148,0.0148,0.0035,0.0178,0.0178,0.023,0.4700887203216553
4.0,0.5,5.0,0.0149,53.5469,0.9456,0.3506,0.1612,0.0151,0.0151,0.0125,0.0131,0.0131,0.0017,0.0151,0.0151,0.0128,0.4691481590270996
5.0,0.5,5.0,0.0115,39.6398,0.9703,0.2143,0.1072,0.0116,0.0116,0.0107,0.0109,0.0109,0.0006,0.0122,0.0122,0.0054,0.4675252437591553
0.0,1,0.0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.3944845199584961
1.0,1,0.0,0.0248,157.0355,0.827,0.6839,0.3363,0.0253,0.0253,0.0206,0.0129,0.0129,0.0119,0.0228,0.0228,0.0429,0.39546632766723633
2.0,1,0.0,0.0245,146.1731,0.8407,0.653,0.3205,0.0251,0.0251,0.0185,0.0136,0.0136,0.0109,0.0223,0.0223,0.0439,0.3958709239959717
3.0,1,0.0,0.0236,129.2264,0.8672,0.5895,0.2855,0.0243,0.0243,0.0173,0.0142,0.0142,0.0093,0.0215,0.0215,0.0424,0.3952193260192871
4.0,1,0.0,0.0203,108.7202,0.9053,0.4891,0.2324,0.021,0.021,0.0138,0.0129,0.0129,0.0074,0.0181,0.0181,0.0401,0.39541029930114746
5.0,1,0.0,0.0155,85.735,0.9474,0.353,0.1614,0.0161,0.0161,0.0096,0.0107,0.0107,0.0048,0.0138,0.0138,0.0306,0.39629244804382324
0.0,1,1.0,0.0239,145.7129,0.8155,0.7095,0.3535,0.0246,0.0246,0.018,0.0129,0.0129,0.0111,0.0218,0.0218,0.0433,0.39449548721313477
