alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
2,1.0,5,0.0225,104.8555,0.8405,0.6522,0.3209,0.0232,0.0232,0.0165,0.015199999999999998,0.0073,0.0208,0.0208,0.0373,0.396591902
3,1.0,5,0.0208,91.0384,0.8757,0.5705,0.2782,0.0214,0.0214,0.0154,0.0149,0.0059,0.0195,0.0195,0.0331,0.394241095
4,1.0,5,0.0158,70.2061,0.9211,0.4464,0.2091,0.0163,0.0163,0.0115,0.012400000000000001,0.0034,0.0153,0.0153,0.0206,0.396772861
5,1.0,5,0.0107,47.2718,0.965,0.2654,0.1229,0.011,0.011,0.0082,0.0096,0.0011,0.011,0.011,0.0076,0.396905422
0,1.5,0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.0119,0.0121,0.022,0.022,0.0428,0.34923172
1,1.5,0,0.0243,160.7685,0.8256,0.6879,0.3371,0.0247,0.0247,0.0199,0.012499999999999999,0.0118,0.0222,0.0222,0.0427,0.349577904
2,1.5,0,0.0248,154.1427,0.8294,0.6783,0.3354,0.0254,0.0254,0.0191,0.0136,0.0112,0.0228,0.0228,0.0427,0.356268644
3,1.5,0,0.025,141.1965,0.8409,0.6527,0.3217,0.0257,0.0257,0.0188,0.0148,0.0102,0.0229,0.0229,0.0434,0.349519968
4,1.5,0,0.0236,123.984,0.8679,0.5934,0.2879,0.0243,0.0243,0.0175,0.014799999999999999,0.0088,0.0216,0.0216,0.0417,0.351896763
5,1.5,0,0.0197,106.3153,0.9106,0.4839,0.2269,0.0205,0.0205,0.0132,0.012999999999999998,0.0067,0.0178,0.0178,0.0369,0.348863363
0,1.5,1,0.024,160.8975,0.8249,0.6932,0.3404,0.0245,0.0245,0.0193,0.0121,0.0119,0.0219,0.0219,0.043,0.349142075
1,1.5,1,0.0241,157.4582,0.8245,0.6903,0.3406,0.0246,0.0246,0.019,0.0125,0.0116,0.022,0.022,0.0427,0.352370024
2,1.5,1,0.0244,150.7926,0.8288,0.6799,0.3359,0.0251,0.0251,0.0183,0.013500000000000002,0.0109,0.0225,0.0225,0.042,0.35068655
3,1.5,1,0.0245,137.6089,0.8413,0.6514,0.3216,0.0252,0.0252,0.0182,0.014700000000000001,0.0098,0.0226,0.0226,0.0412,0.350372314
4,1.5,1,0.0232,120.1007,0.8695,0.5892,0.2866,0.0239,0.0239,0.0171,0.014899999999999998,0.0083,0.0213,0.0213,0.0408,0.350859642
5,1.5,1,0.0196,101.7791,0.9135,0.4725,0.2221,0.0203,0.0203,0.0133,0.0131,0.0065,0.0177,0.0177,0.0359,0.350649834
0,1.5,2,0.0242,161.1581,0.8256,0.6913,0.3401,0.0247,0.0247,0.0199,0.012199999999999999,0.012,0.0219,0.0219,0.0446,0.359369755
1,1.5,2,0.0243,157.6744,0.8254,0.6891,0.3398,0.0248,0.0248,0.0197,0.012599999999999998,0.0117,0.022,0.022,0.0444,0.350383282
2,1.5,2,0.0246,150.9412,0.8296,0.6789,0.335,0.0253,0.0253,0.0185,0.013600000000000001,0.011,0.0225,0.0225,0.0432,0.353917837
3,1.5,2,0.0246,137.7705,0.8423,0.65,0.3192,0.0252,0.0252,0.0187,0.0147,0.0099,0.0226,0.0226,0.0425,0.350702524
4,1.5,2,0.0233,119.9722,0.8704,0.5878,0.2852,0.0239,0.0239,0.0176,0.014900000000000002,0.0084,0.0214,0.0214,0.0404,0.349674463
5,1.5,2,0.0194,101.2213,0.9147,0.4677,0.2194,0.0201,0.0201,0.0134,0.0131,0.0063,0.0177,0.0177,0.0349,0.355238438
0,1.5,3,0.0242,161.3166,0.8259,0.6903,0.3389,0.0247,0.0247,0.0197,0.0121,0.0121,0.0219,0.0219,0.0449,0.348528624
1,1.5,3,0.0243,157.8268,0.8256,0.6882,0.3392,0.0248,0.0248,0.0197,0.012499999999999999,0.0118,0.022,0.022,0.0445,0.350510597
2,1.5,3,0.0246,151.109,0.8298,0.6784,0.3343,0.0253,0.0253,0.0185,0.013600000000000001,0.011,0.0226,0.0226,0.0431,0.3493402
3,1.5,3,0.0245,137.8875,0.8425,0.6498,0.3186,0.0252,0.0252,0.0188,0.0146,0.0099,0.0225,0.0225,0.0428,0.348465204
4,1.5,3,0.0233,120.026,0.8706,0.5867,0.2852,0.0239,0.0239,0.0176,0.014900000000000002,0.0084,0.0214,0.0214,0.0405,0.349521637
5,1.5,3,0.0194,101.2242,0.9149,0.4667,0.2196,0.0201,0.0201,0.0134,0.0131,0.0063,0.0177,0.0177,0.0351,0.351307869
0,1.5,4,0.0242,161.374,0.826,0.6901,0.3388,0.0247,0.0247,0.0197,0.0121,0.0121,0.0219,0.0219,0.0449,0.350545883
1,1.5,4,0.0243,157.8837,0.8257,0.6879,0.339,0.0248,0.0248,0.0197,0.012499999999999999,0.0118,0.022,0.022,0.0445,0.350486755
2,1.5,4,0.0246,151.1473,0.8299,0.6783,0.3342,0.0253,0.0253,0.0185,0.013600000000000001,0.011,0.0225,0.0225,0.0431,0.350931168
3,1.5,4,0.0245,137.9293,0.8425,0.6496,0.3185,0.0252,0.0252,0.0188,0.0146,0.0099,0.0225,0.0225,0.0428,0.351561546
4,1.5,4,0.0233,120.0429,0.8707,0.5867,0.2851,0.0239,0.0239,0.0176,0.014900000000000002,0.0084,0.0214,0.0214,0.0405,0.351456881
5,1.5,4,0.0194,101.228,0.915,0.4667,0.2195,0.0201,0.0201,0.0134,0.0131,0.0063,0.0177,0.0177,0.0351,0.35500145
0,1.5,5,0.0242,161.4049,0.826,0.6901,0.3386,0.0247,0.0247,0.0197,0.0121,0.0121,0.0219,0.0219,0.0449,0.352954149
1,1.5,5,0.0243,157.9158,0.8257,0.6878,0.3389,0.0248,0.0248,0.0197,0.012499999999999999,0.0118,0.022,0.022,0.0445,0.350577116
2,1.5,5,0.0246,151.1728,0.8299,0.6782,0.3341,0.0253,0.0253,0.0185,0.013600000000000001,0.011,0.0225,0.0225,0.0431,0.34973073
3,1.5,5,0.0245,137.9607,0.8426,0.6496,0.3185,0.0252,0.0252,0.0188,0.0146,0.0099,0.0225,0.0225,0.0428,0.349205971
4,1.5,5,0.0233,120.0578,0.8707,0.5867,0.285,0.0239,0.0239,0.0176,0.014900000000000002,0.0084,0.0214,0.0214,0.0405,0.349225521
5,1.5,5,0.0194,101.24,0.915,0.4666,0.2195,0.0201,0.0201,0.0134,0.0131,0.0063,0.0177,0.0177,0.0351,0.349018574
0,2.0,0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.0119,0.0121,0.022,0.022,0.0428,0.329146862
1,2.0,0,0.0241,164.2062,0.8258,0.6901,0.338,0.0245,0.0245,0.0199,0.012,0.0121,0.022,0.022,0.0428,0.329855442
2,2.0,0,0.0242,163.9966,0.8254,0.69,0.3385,0.0246,0.0246,0.0199,0.0121,0.0121,0.0221,0.0221,0.0429,0.331981897
3,2.0,0,0.0242,163.9647,0.8249,0.6904,0.3391,0.0247,0.0247,0.02,0.0121,0.0121,0.0221,0.0221,0.0429,0.331554651
